date,tmed_c,tmax_c,tmin_c,rh_mean_pct,rh_max_pct,rh_min_pct,wind_mean_ms,wind_max_ms,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,ra_extraterrestre_mj_m2_d,et_camargo,et_garcia_lopez,et_hargreaves_samani,et_hargreaves_samani_corr,et_penman_monteith,et_priestley_taylor,et_thornthwaite,et_thornthwaite_camargo
2024-03-12,24.68,33.21,17.17,75.3074,99.0,51.69,1.468,6.272,0.0,25.48,12.54262,14.5,3.6012387096774194,23.985819028724247,5.673911118312884,5.918230224583254,6.778472447663503,9.085134239999999,3.9876159572667365,0
2024-03-13,26.64,34.85,19.7,75.28406,92.7,42.11,1.089,3.795,0.0,25.675,12.43,14.5,3.6012387096774194,29.809201995032183,5.768676765373615,6.017076488649119,6.567187301659281,9.40052712857143,3.9876159572667365,0
2024-03-14,27.61,35.71,22.11,75.66083,99.6,44.31,0.932,9.39,2.794,23.55,11.94292,14.5,3.6012387096774194,33.055903583729496,5.584917914167638,5.825404965326899,6.648999747302776,8.734096157142856,3.9876159572667365,0
2024-03-15,28.25,35.9,21.2,71.20749999999997,100.0,34.58,0.916,4.914,0.0,24.43,13.54259,14.5,3.6012387096774194,35.34455564384079,5.8882215198332055,6.141768850633722,6.346022444303276,9.1368549,3.9876159572667365,0
2024-03-16,28.11,35.62,21.5,72.24052,99.3,37.66,0.922,4.195,0.0,23.09,13.12144,14.5,3.6012387096774194,34.8338277882732,5.75334582202702,6.001085393548537,6.000934850794403,8.619899425714284,3.9876159572667365,0
2024-03-17,26.6,34.85,21.69,77.29831,100.0,50.12,1.18,7.79,20.07,19.86,10.4266,14.5,3.6012387096774194,29.67931566348975,5.371638192434037,5.602941400224415,6.032833317762481,7.267568399999998,3.9876159572667365,0
2024-03-18,27.6,32.4,22.9,69.0,100.0,48.0,1.907,3.95,0.0,20.06,12.65763,14.5,3.6012387096774194,33.02601713621581,4.666738798877648,4.86768897746946,4.250285383022951,7.438763828571427,3.9876159572667365,0
2024-03-19,27.2,31.8,23.56,67.0,92.8,58.26,1.907,7.23,0.0,21.5,12.5,14.5,3.6012387096774194,31.658569764352787,4.307962933336358,4.493464191951699,4.435565259969055,7.930735714285714,3.9876159572667365,0
2024-03-20,25.34,33.11,22.45,90.42572916666664,100.0,54.06,0.536,7.79,7.366,15.96,7.625715,14.5,3.6012387096774194,25.832221554401325,4.697367961725402,4.899637034733558,4.821216851456294,5.74215264,3.9876159572667365,0
2024-03-21,27.06,33.87,21.88,79.765625,100.0,49.64,1.194,7.79,2.286,21.28,12.39217,14.5,3.6012387096774194,31.18069089650874,5.18041675149272,5.403485947403757,5.651916549555462,7.83502848,3.9876159572667365,0
2024-03-22,22.35,25.33,19.23,91.32895833333329,100.0,72.94,2.741,8.11,14.22,7.248,1.544566,14.5,3.6012387096774194,18.19809452456865,3.3070922181787012,3.44949589674379,2.313356172881889,2.501833577142857,3.9876159572667365,0
2024-03-23,19.67,22.15,18.22,87.51302,98.3,70.92,2.869,7.71,10.41,6.081,0.2430207,14.5,3.6012387096774194,12.865608423766608,2.4772840504534357,2.5839561171397025,1.3664856153782836,2.019390642,3.9876159572667365,0
2024-03-24,20.0,23.31,17.79,95.67708,100.0,86.7,1.003,4.754,11.68,6.416,1.501145,14.5,3.6012387096774194,13.450862523671729,2.9618098762223073,3.089345667110155,1.802733968152127,2.1409825371428575,3.9876159572667365,0
